222: ((square(4) + square(sqrt(4) - square(4))) + sum(4))
222: ((square(4) + square(square(4) - sqrt(4))) + sum(4))
222: ((square(4) + sum(4)) + square(sqrt(4) - square(4)))
222: ((square(4) + sum(4)) + square(square(4) - sqrt(4)))
222: ((square(sqrt(4) - square(4)) + square(4)) + sum(4))
222: ((square(sqrt(4) - square(4)) + sum(4)) + square(4))
222: ((square(square(4) - sqrt(4)) + square(4)) + sum(4))
222: ((square(square(4) - sqrt(4)) + sum(4)) + square(4))
222: ((sum(4) + square(4)) + square(sqrt(4) - square(4)))
222: ((sum(4) + square(4)) + square(square(4) - sqrt(4)))
222: ((sum(4) + square(sqrt(4) - square(4))) + square(4))
222: ((sum(4) + square(square(4) - sqrt(4))) + square(4))
222: (square(4) + (square(sqrt(4) - square(4)) + sum(4)))
222: (square(4) + (square(square(4) - sqrt(4)) + sum(4)))
222: (square(4) + (sum(4) + square(sqrt(4) - square(4))))
222: (square(4) + (sum(4) + square(square(4) - sqrt(4))))
222: (square(sqrt(4) - square(4)) + (square(4) + sum(4)))
222: (square(sqrt(4) - square(4)) + (sum(4) + square(4)))
222: (square(square(4) - sqrt(4)) + (square(4) + sum(4)))
222: (square(square(4) - sqrt(4)) + (sum(4) + square(4)))
222: (sum(4) + (square(4) + square(sqrt(4) - square(4))))
222: (sum(4) + (square(4) + square(square(4) - sqrt(4))))
222: (sum(4) + (square(sqrt(4) - square(4)) + square(4)))
222: (sum(4) + (square(square(4) - sqrt(4)) + square(4)))
